data;

param numFacilities := 3;
param numCustomers := 14;

param : costs capacities facilityXs facilityYs :=
0 3336 20067 467.676898 318.217436
1 3555 3684 372.722500 34.345525
2 3329 9098 49.065701 211.230968;

param : demands customerXs customerYs :=
0 739 201.715464 574.799859
1 460 690.438795 644.423516
2 3165 254.218063 535.298419
3 2104 228.612679 455.938426
4 361 765.388302 671.196046
5 901 731.559952 705.368291
6 855 758.391182 680.602347
7 2146 723.406360 704.863229
8 2149 249.321459 519.372561
9 1790 685.426467 690.921229
10 1870 724.061979 704.598017
11 3050 665.161294 684.579816
12 4949 740.261552 754.984349
13 652 749.054251 629.484088;

end;
