data;

param numFacilities := 5;
param numCustomers := 15;

param : costs capacities facilityXs facilityYs :=
0 3058 13070 505.713032 39.629606
1 2886 5224 136.894393 58.191172
2 3235 12916 558.892939 414.393003
3 3011 3867 683.442924 488.760021
4 3013 3381 202.192253 385.919657;

param : demands customerXs customerYs :=
0 928 0.946902 0.837781
1 2748 0.733926 0.717202
2 741 0.205445 0.242561
3 945 0.398594 0.496157
4 968 0.494041 0.408599
5 256 0.452871 0.382815
6 822 0.155824 0.306748
7 748 0.773722 0.014707
8 1504 0.925048 0.792715
9 4869 0.050571 0.828876
10 3714 0.861618 0.451028
11 374 0.833191 0.324633
12 1737 0.529520 0.430286
13 3858 0.326673 0.388513
14 1529 0.014590 0.581270;

end;
