data;

param numFacilities := 4;
param numCustomers := 19;

param : costs capacities facilityXs facilityYs :=
0 2325 10099 74.284564 320.405325
1 2928 20766 236.166152 71.119398
2 1623 11337 19.821558 67.240900
3 1965 8733 312.414903 186.297453;

param : demands customerXs customerYs :=
0 648 0.946902 0.837781
1 1682 0.733926 0.717202
2 2439 0.205445 0.242561
3 4909 0.398594 0.496157
4 4240 0.494041 0.408599
5 261 0.452871 0.382815
6 768 0.155824 0.306748
7 1541 0.773722 0.014707
8 314 0.925048 0.792715
9 277 0.050571 0.828876
10 4912 0.861618 0.451028
11 1658 0.833191 0.324633
12 4866 0.529520 0.430286
13 3288 0.326673 0.388513
14 181 0.014590 0.581270
15 1758 0.432989 0.117051
16 4671 0.344692 0.011926
17 4924 0.048052 0.233600
18 1155 0.083572 0.909813;

end;
