data;

param numFacilities := 25;
param numCustomers := 50;

param : costs capacities facilityXs facilityYs :=
0 8110 5770 25933.932500 111192.550000
1 7526 5053 114310.742500 58911.515000
2 8680 4948 43404.182500 3739.217500
3 8117 5333 67490.157500 179793.730000
4 10415 5846 102845.140000 193548.575000
5 8125 3928 22600.177500 191707.320000
6 9933 4689 32481.837500 123346.025000
7 7503 5471 62938.390000 24260.162500
8 7310 4679 38585.305000 1231.852500
9 6707 4744 116728.990000 111760.182500
10 8584 5237 86725.617500 122346.695000
11 8920 5225 4035.732500 56004.580000
12 7995 3993 116040.165000 59080.397500
13 7961 4822 167325.445000 129574.080000
14 9234 4597 41922.022500 164621.805000
15 6181 6790 38055.085000 182712.402500
16 8541 4528 178162.742500 83040.437500
17 7671 4847 0.000000 117315.352500
18 6619 4735 141340.352500 23268.215000
19 7814 3399 137802.305000 175561.812500
20 7513 4751 166847.852500 172222.385000
21 7953 4633 15015.075000 94225.542500
22 8188 5413 166815.110000 340.147500
23 8125 4974 62135.457500 149279.947500
24 8396 4801 67640.517500 16907.265000;

param : demands customerXs customerYs :=
0 998 184027.130000 124856.627500
1 774 71439.750000 93960.100000
2 1003 60981.560000 151009.467500
3 923 171940.717500 156014.215000
4 915 31845.825000 32095.950000
5 516 15928.935000 180517.932500
6 737 155597.592500 135351.235000
7 925 73483.635000 35984.575000
8 909 192589.700000 123759.885000
9 627 81376.285000 134229.705000
10 723 138566.817500 54795.467500
11 713 191606.485000 20953.287500
12 838 71578.495000 197007.417500
13 653 72719.462500 53120.920000
14 854 78953.450000 23554.745000
15 920 84204.370000 98864.410000
16 1049 129172.910000 46889.727500
17 718 166350.322500 149518.355000
18 1008 97276.672500 66695.847500
19 958 196853.672500 88382.282500
20 1114 98691.767500 131938.270000
21 578 11556.610000 99239.072500
22 929 70730.025000 189120.997500
23 926 15386.807500 20650.767500
24 998 135664.922500 68964.950000
25 673 47129.262500 121648.490000
26 934 149528.770000 91861.532500
27 704 197027.080000 5021.842500
28 934 134178.437500 174359.785000
29 792 101174.177500 132310.227500
30 687 7791.362500 136111.392500
31 582 122774.067500 94399.927500
32 900 79393.255000 39266.237500
33 805 104258.460000 23293.345000
34 824 138392.467500 11830.480000
35 584 28668.230000 74103.562500
36 1006 160566.350000 169007.045000
37 691 165062.087500 102479.185000
38 661 176155.540000 21713.372500
39 835 154782.305000 87725.810000
40 882 171112.987500 147107.307500
41 906 174855.320000 152564.365000
42 894 61694.325000 164521.772500
43 1219 17603.917500 58699.007500
44 710 148031.225000 169640.327500
45 815 3025.297500 55828.785000
46 836 106955.520000 48293.575000
47 854 101555.725000 141110.697500
48 755 45444.400000 143525.840000
49 1036 155882.280000 100310.787500;

end;
