data;

param numFacilities := 25;
param numCustomers := 50;

param : costs capacities facilityXs facilityYs :=
0 25000 15000 430582.903998 430582.903998
1 25000 15000 441967.566511 447095.077733
2 25000 15000 432905.871800 444706.599336
3 25000 15000 427142.671483 433986.863525
4 25000 15000 428333.083285 439147.783561
5 25000 15000 430307.998493 442044.334989
6 25000 15000 434319.760208 348947.990899
7 25000 15000 437312.884269 236298.791087
8 25000 15000 429898.891150 440158.789247
9 25000 15000 468580.203206 309704.537261
10 0 15000 427330.722028 438586.802905
11 25000 15000 424118.342226 407682.076185
12 25000 15000 384802.033706 14516.509560
13 25000 15000 426329.771259 418931.439518
14 25000 15000 481984.149045 368646.428732
15 25000 15000 432098.903302 394292.526943
16 25000 15000 438572.694477 450113.198552
17 25000 15000 436874.502971 448932.035513
18 25000 15000 431558.339438 444153.081356
19 25000 15000 425944.670705 428053.302347
20 25000 15000 427630.945127 408740.437421
21 25000 15000 394480.895391 110170.066274
22 25000 15000 384295.454825 0.000000
23 25000 15000 388328.901804 13931.450473
24 25000 15000 435685.130355 447103.687854;

param : demands customerXs customerYs :=
0 146 416189.973974 279924.793498
1 87 416200.962928 279953.351993
2 672 416235.375342 281420.913036
3 1337 416041.801381 287758.719716
4 31 416203.112456 279952.407299
5 559 416217.961112 280854.973380
6 2370 407844.877813 313480.956397
7 1089 415956.078122 284292.337751
8 33 416202.706826 279950.944713
9 32 416203.385487 279953.320311
10 5495 301852.601198 459101.879327
11 904 416145.372162 282477.950440
12 1466 415753.199890 287343.540750
13 143 416205.945564 280029.518347
14 615 416128.050052 280314.598578
15 564 416005.244245 279715.008320
16 226 416190.248294 280030.155212
17 3016 404930.246190 319656.101204
18 253 416177.919605 280052.145685
19 195 416179.770958 279903.129895
20 38 416203.263566 279955.326144
21 807 416104.798995 280678.966717
22 551 416173.828443 280804.702077
23 304 416215.303062 280274.727997
24 814 416051.672631 280906.816241
25 337 416208.796835 280331.587594
26 4368 250434.121120 187215.186265
27 577 416187.082652 280929.527847
28 482 416196.152806 280491.239857
29 495 416225.028739 280836.244976
30 231 416206.203653 280094.445899
31 322 416204.643497 280254.428039
32 685 416204.142469 281045.423457
33 12912 498348.622166 1042778.922490
34 325 416179.102073 280057.581514
35 366 416161.819666 280094.540903
36 3671 333744.356821 398310.433016
37 2213 414235.515804 300297.443467
38 705 415188.053917 276838.289088
39 328 416206.142378 280393.884218
40 1681 415716.236926 286746.974892
41 1117 415698.915544 281877.987819
42 275 416119.647107 279722.785725
43 500 416137.917099 280096.149318
44 2241 400036.118513 242474.851379
45 733 415078.765968 276755.173333
46 222 416124.787869 279743.799920
47 49 416201.847278 279947.509166
48 1464 416009.615280 289392.477399
49 222 416191.073327 280003.552376;

end;
