data;

param numFacilities := 45;
param numCustomers := 3477;

param : costs capacities facilityXs facilityYs :=
0 2821 3758505 0.327446 0.524628
1 2965 3682282 0.607908 0.945880
2 2658 1740285 0.818104 0.868403
3 2665 3725780 0.654916 0.400726
4 2803 2785539 0.384085 0.780200
5 2839 3205834 0.294371 0.326646
6 2607 1213244 0.708498 0.857075
7 3007 3771596 0.689044 0.898190
8 2817 2983335 0.654106 0.165656
9 2609 4019044 0.208674 0.617143
10 2859 4922689 0.400060 0.546120
11 2551 3755090 0.676312 0.709861
12 2690 3773756 0.410114 0.376637
13 2931 3022639 0.803121 0.734769
14 2826 4802086 0.741792 0.422797
15 2915 3858551 0.164090 0.795875
16 2877 4197177 0.615269 0.538822
17 2729 3070594 0.782023 0.332198
18 2882 2972547 0.098335 0.507700
19 3016 4444335 0.324451 0.473676
20 2815 2161331 0.497601 0.787580
21 2818 4457920 0.141391 0.576640
22 2614 2953391 0.168404 0.355747
23 2569 4102102 0.069312 0.869492
24 2670 3415801 0.591429 0.854138
25 2617 2420828 0.098087 0.801470
26 2556 3944476 0.449274 0.875982
27 2646 3721907 0.244203 0.254589
28 2555 4570371 0.831552 0.808243
29 2899 3580356 0.674450 0.343406
30 2605 4855547 0.175352 0.713246
31 2646 4859344 0.334812 0.366734
32 2733 4246621 0.193369 0.385445
33 2739 4289221 0.229232 0.633438
34 2771 4448189 0.421249 0.065170
35 2688 3566905 0.629478 0.898525
36 2899 4936087 0.060201 0.037559
37 2659 3179110 0.652354 0.976472
38 2706 4936321 0.387163 0.935533
39 2720 4500860 0.875787 0.359500
40 2689 4095345 0.469063 0.154542
41 2736 4419655 0.953875 0.072541
42 2543 4744100 0.461783 0.491525
43 2756 4708289 0.904301 0.949264
44 2594 4424287 0.839573 0.244439;

param : demands customerXs customerYs :=
0 21061 0.397058 0.020318
1 34542 0.310380 0.506673
2 30415 0.212262 0.940881
3 40195 0.328300 0.535281
4 24163 0.889850 0.226368
5 3984 0.453809 0.343812
6 2486 0.679090 0.023160
7 36820 0.465255 0.928411
8 24611 0.524002 0.601927
9 44794 0.531410 0.290715
10 20924 0.794433 0.564086
11 34288 0.444070 0.470841
12 5544 0.856591 0.944010
13 12614 0.521861 0.096809
14 13985 0.012312 0.666658
15 42693 0.869333 0.521785
16 3486 0.045881 0.761836
17 32129 0.431813 0.154915
18 25722 0.724553 0.597707
19 21168 0.265988 0.686038
20 30096 0.270948 0.472019
21 5032 0.994066 0.822505
22 10280 0.452363 0.253204
23 9880 0.823299 0.505061
24 28299 0.868780 0.456958
25 13456 0.556149 0.055731
26 18185 0.589311 0.090762
27 21439 0.286273 0.104236
28 8773 0.760237 0.227499
29 5522 0.973720 0.825043
30 7785 0.134843 0.559337
31 30214 0.887968 0.159333
32 30727 0.366150 0.711600
33 4597 0.929207 0.910956
34 1427 0.161801 0.933194
35 36746 0.527675 0.057693
36 3743 0.004614 0.425253
37 17196 0.301231 0.766421
38 9196 0.339965 0.983098
39 12556 0.802619 0.338472
40 8174 0.310079 0.612486
41 17267 0.864892 0.436840
42 23189 0.914302 0.987201
43 42029 0.237973 0.288553
44 23945 0.755271 0.455376
45 26319 0.629859 0.501532
46 47079 0.620131 0.748011
47 47719 0.017548 0.989157
48 45741 0.411222 0.202440
49 30291 0.590929 0.286562
50 32217 0.137294 0.886309
51 44289 0.330177 0.294965
52 43804 0.872724 0.487201
53 42177 0.083807 0.248353
54 30266 0.844663 0.573255
55 27309 0.097718 0.173952
56 30664 0.179465 0.685804
57 1632 0.793174 0.055070
58 870 0.666268 0.557026
59 20498 0.025458 0.761851
60 21701 0.385240 0.007815
61 35024 0.803081 0.264049
62 47308 0.359294 0.160604
63 43875 0.118165 0.738473
64 29505 0.023761 0.300795
65 10205 0.829191 0.084561
66 32987 0.232744 0.237278
67 22473 0.987233 0.579673
68 36615 0.441950 0.572654
69 41563 0.439349 0.384723
70 61 0.408470 0.126233
71 40249 0.062178 0.504619
72 32783 0.528951 0.244743
73 38953 0.682967 0.053060
74 30072 0.152405 0.889922
75 45465 0.763733 0.873047
76 26700 0.459912 0.285928
77 40900 0.449965 0.320703
78 20727 0.826100 0.959220
79 12468 0.464380 0.589811
80 17406 0.122969 0.055396
81 44454 0.342612 0.799783
82 4249 0.522400 0.611257
83 48652 0.232353 0.155104
84 48946 0.197299 0.327224
85 44070 0.023641 0.320784
86 31234 0.659236 0.152309
87 39924 0.367201 0.487560
88 44047 0.310912 0.088232
89 21826 0.326447 0.005500
90 8544 0.133634 0.688937
91 30311 0.100985 0.780932
92 12672 0.076790 0.995081
93 38651 0.619011 0.742976
94 19381 0.397216 0.606810
95 3193 0.189548 0.850618
96 12601 0.994482 0.825646
97 36018 0.047051 0.186495
98 6199 0.532276 0.679111
99 33170 0.844812 0.733488
100 41031 0.264960 0.446941
