data;

param numFacilities := 7;
param numCustomers := 35;

param : costs capacities facilityXs facilityYs :=
0 214 16362 0.259791 0.870353
1 250 14449 0.630169 0.379486
2 830 16745 0.042094 0.171321
3 1041 11565 0.369239 0.078602
4 413 21208 0.575113 0.742418
5 721 19040 0.412044 0.049412
6 716 3542 0.437042 0.870576;

param : demands customerXs customerYs :=
0 4745 0.314966 0.256521
1 3931 0.034118 0.471026
2 1795 0.552850 0.936033
3 3311 0.208576 0.674951
4 1691 0.578548 0.686758
5 3289 0.072032 0.817532
6 1765 0.785791 0.479621
7 4401 0.553037 0.604583
8 4808 0.699768 0.610528
9 1946 0.599271 0.550083
10 2128 0.695082 0.559544
11 2972 0.738325 0.936936
12 2853 0.048035 0.139399
13 4410 0.728880 0.620895
14 2768 0.959662 0.267329
15 1539 0.266904 0.490310
16 3411 0.900165 0.485106
17 1097 0.588823 0.622982
18 3432 0.138977 0.143601
19 4734 0.685073 0.116801
20 141 0.605355 0.626859
21 1985 0.633879 0.031016
22 2140 0.206454 0.464568
23 774 0.089058 0.617338
24 2236 0.420556 0.824175
25 2169 0.201461 0.892085
26 4568 0.772538 0.066901
27 2751 0.240792 0.828859
28 1008 0.393143 0.063679
29 4862 0.106624 0.964422
30 452 0.337594 0.272966
31 4431 0.268642 0.924083
32 4784 0.752345 0.827220
33 4854 0.762308 0.728512
34 4730 0.717980 0.864131;

end;
