data;

param numFacilities := 7;
param numCustomers := 28;

param : costs capacities facilityXs facilityYs :=
0 96 10326 0.351508 0.404146
1 849 6157 0.771895 0.385592
2 345 13402 0.694574 0.928533
3 334 9340 0.103473 0.060900
4 516 13011 0.252310 0.779952
5 867 4070 0.801485 0.570806
6 682 10398 0.293670 0.995120;

param : demands customerXs customerYs :=
0 1872 0.482538 0.962176
1 3606 0.884454 0.769757
2 3231 0.639759 0.713675
3 3618 0.581294 0.924253
4 4619 0.146278 0.372801
5 1672 0.398901 0.505968
6 1055 0.015853 0.638745
7 1363 0.094097 0.943126
8 1734 0.450279 0.667033
9 1139 0.389317 0.673255
10 1272 0.395755 0.473479
11 2640 0.473484 0.543705
12 357 0.359426 0.886863
13 2955 0.464168 0.508747
14 928 0.679870 0.274526
15 526 0.257742 0.011375
16 1190 0.287745 0.730976
17 2050 0.800868 0.955953
18 3440 0.239841 0.800825
19 1408 0.833356 0.046825
20 2664 0.818184 0.660139
21 4202 0.035298 0.185664
22 1852 0.590481 0.137144
23 2750 0.862836 0.055535
24 4998 0.126669 0.272240
25 3394 0.657866 0.803407
26 2707 0.947920 0.423589
27 3462 0.113768 0.477472;

end;
