data;

param numFacilities := 4;
param numCustomers := 22;

param : costs capacities facilityXs facilityYs :=
0 3755 16085 167.757767 252.477346
1 3076 17664 382.782074 330.776737
2 3197 19946 386.461947 48.388751
3 2428 15960 335.978798 15.837311;

param : demands customerXs customerYs :=
0 4394 0.946902 0.837781
1 274 0.733926 0.717202
2 4673 0.205445 0.242561
3 1801 0.398594 0.496157
4 1203 0.494041 0.408599
5 2127 0.452871 0.382815
6 2928 0.155824 0.306748
7 807 0.773722 0.014707
8 4969 0.925048 0.792715
9 3741 0.050571 0.828876
10 4520 0.861618 0.451028
11 2893 0.833191 0.324633
12 150 0.529520 0.430286
13 3512 0.326673 0.388513
14 2845 0.014590 0.581270
15 4955 0.432989 0.117051
16 1613 0.344692 0.011926
17 4829 0.048052 0.233600
18 1200 0.083572 0.909813
19 1153 0.908708 0.479778
20 720 0.293786 0.240643
21 4925 0.479489 0.797414;

end;
