data;

param numFacilities := 49;
param numCustomers := 443;

param : costs capacities facilityXs facilityYs :=
0 407 2942649 0.701975 0.250030
1 3070 4835965 0.216553 0.295519
2 1572 1669247 0.419208 0.469041
3 3254 3227603 0.971895 0.564817
4 342 3850450 0.095235 0.806761
5 2138 3745280 0.860762 0.330715
6 1182 4582981 0.874626 0.938144
7 3110 4423193 0.092475 0.929478
8 3296 2958746 0.928333 0.834794
9 642 2059101 0.552123 0.592544
10 1072 2880817 0.064696 0.567057
11 2614 1625036 0.249527 0.542345
12 926 3515117 0.881780 0.488957
13 1656 4840261 0.241540 0.045800
14 1055 4975708 0.341495 0.373844
15 2999 3097876 0.401740 0.001912
16 316 4905125 0.336860 0.682610
17 2660 3074875 0.707110 0.353883
18 1920 3821408 0.221085 0.453855
19 3186 3915731 0.202563 0.192761
20 1707 4458456 0.722407 0.683380
21 957 3674887 0.595576 0.729725
22 2836 2743545 0.808788 0.809812
23 517 1840007 0.596823 0.161951
24 3242 3482469 0.901912 0.550545
25 1427 2336715 0.007395 0.824005
26 607 4297331 0.245296 0.699689
27 1779 4347435 0.517035 0.872309
28 3340 3555769 0.766374 0.435616
29 1113 4615433 0.009631 0.419989
30 2854 3907085 0.909627 0.929942
31 1215 4316488 0.626828 0.327853
32 2457 4202240 0.964260 0.086295
33 1258 4912442 0.863711 0.258735
34 1246 4291536 0.387089 0.399195
35 2284 4039278 0.602413 0.427458
36 1384 3561670 0.132039 0.931352
37 3131 4293326 0.359270 0.131672
38 1115 4329200 0.081680 0.936406
39 371 4129393 0.774944 0.104777
40 1300 4552212 0.887296 0.105021
41 1314 4374982 0.129260 0.205349
42 3425 4415319 0.525561 0.149529
43 2726 4669064 0.037733 0.400171
44 2532 4717536 0.418275 0.350758
45 1571 4383616 0.747908 0.984461
46 1619 4099784 0.241918 0.866166
47 1690 4775390 0.087249 0.501837
48 1275 4951275 0.276446 0.898813;

param : demands customerXs customerYs :=
0 170058 0.120654 0.249178
1 279049 0.476495 0.084462
2 410151 0.600141 0.538479
3 261211 0.497911 0.705166
4 319675 0.841136 0.334576
5 128361 0.182980 0.498683
6 152507 0.722099 0.247086
7 234043 0.260806 0.308957
8 306210 0.772805 0.284534
9 252413 0.835127 0.732777
10 281672 0.088582 0.856652
11 152033 0.257637 0.983560
12 10209 0.874731 0.101177
13 427606 0.688405 0.935078
14 70996 0.371557 0.248708
15 144018 0.619339 0.113293
16 374853 0.151269 0.140322
17 336513 0.445133 0.227076
18 145988 0.362779 0.184269
19 184944 0.256412 0.275224
20 416779 0.840407 0.806274
21 333517 0.648850 0.657500
22 217557 0.034532 0.602661
23 302416 0.651689 0.891358
24 123389 0.876631 0.176085
25 31601 0.460253 0.581827
26 393580 0.277682 0.240332
27 113612 0.409486 0.589300
28 130883 0.386988 0.278065
29 381410 0.747501 0.418849
30 184334 0.699463 0.715591
31 222003 0.319939 0.838588
32 108678 0.849921 0.514119
33 173211 0.362511 0.058150
34 265764 0.640506 0.553461
35 243537 0.592501 0.343232
36 302160 0.375752 0.250475
37 92503 0.761030 0.425529
38 442156 0.036905 0.797626
39 338995 0.117279 0.941207
40 173468 0.734277 0.855377
41 205513 0.873149 0.777073
42 419594 0.958742 0.030553
43 386632 0.899842 0.216547
44 229437 0.512455 0.295101
45 429103 0.778116 0.793079
46 77087 0.396840 0.511558
47 312548 0.131036 0.162545
48 162928 0.843355 0.393436
49 21632 0.025299 0.640173
50 307385 0.805663 0.278760
51 418326 0.125817 0.872598
52 235286 0.926668 0.126048
53 210128 0.430039 0.238742
54 210703 0.770343 0.329647
55 296527 0.829630 0.372558
56 450617 0.633501 0.330616
57 156058 0.598887 0.702444
58 314824 0.209712 0.066875
59 365218 0.536880 0.154075
60 125825 0.417344 0.435248
61 270164 0.854688 0.430745
62 365046 0.321687 0.722091
63 297312 0.184737 0.544275
64 436858 0.366385 0.119793
65 132294 0.931471 0.666645
66 449225 0.597287 0.064190
67 254345 0.963627 0.574304
68 95998 0.101832 0.691777
69 418638 0.540523 0.379099
70 390541 0.374778 0.575165
71 84468 0.566222 0.474450
72 393149 0.349790 0.687722
73 136155 0.718648 0.441465
74 24096 0.376142 0.926706
75 457355 0.284276 0.809501
76 360693 0.180221 0.616455
77 356390 0.991868 0.105477
78 401801 0.783739 0.140283
79 313801 0.057479 0.481201
80 236761 0.181893 0.205896
81 384946 0.037111 0.050290
82 158153 0.169589 0.640489
83 256111 0.138860 0.016908
84 274195 0.318578 0.520089
85 99134 0.663951 0.142867
86 190554 0.587294 0.588705
87 247867 0.505244 0.295306
88 467002 0.665442 0.098403
89 229831 0.381902 0.912973
90 88354 0.059348 0.666467
91 49191 0.204307 0.505074
92 100444 0.560340 0.966360
93 365537 0.027303 0.651916
94 392191 0.816475 0.805333
95 414926 0.868203 0.191648
96 442398 0.358737 0.663419
97 27289 0.683077 0.690001
98 103924 0.349413 0.106572
99 362786 0.384997 0.598478
100 319030 0.203306 0.802821
101 250504 0.947247 0.342366
102 474041 0.359295 0.816277
103 329314 0.010378 0.310217
104 137458 0.951223 0.651909
105 323962 0.541170 0.026636
106 136285 0.616306 0.030430
107 166334 0.140214 0.297419
108 3352 0.582317 0.853480
109 430118 0.603914 0.814410
110 301860 0.957402 0.199027
111 1412 0.600191 0.099210
112 187842 0.845964 0.022153
113 207757 0.640943 0.128069
114 281945 0.654267 0.614706
115 28097 0.005563 0.145087
116 428507 0.304262 0.821851
117 256498 0.983279 0.803547
118 138063 0.202061 0.601025
119 281586 0.873304 0.598159
120 471164 0.406298 0.569982
121 55087 0.730157 0.047346
122 1970 0.926382 0.425038
123 400499 0.053311 0.320162
124 473344 0.800744 0.908610
125 316296 0.906243 0.895303
126 138262 0.259413 0.588283
127 232727 0.245681 0.765177
128 99501 0.186417 0.516741
129 144832 0.172685 0.107070
130 265244 0.538943 0.966173
131 146313 0.295663 0.336371
132 113553 0.243765 0.010602
133 346760 0.956029 0.841458
134 127121 0.628580 0.741589
135 1694 0.719712 0.758329
136 17863 0.070845 0.105952
137 499734 0.267928 0.294244
138 325633 0.881783 0.628185
139 127504 0.579785 0.990103
140 69491 0.080868 0.360714
141 85347 0.282342 0.212781
142 80800 0.663895 0.708794
143 327367 0.468967 0.122423
144 445223 0.024230 0.779550
145 122189 0.576371 0.599779
146 98085 0.224795 0.830884
147 237310 0.370684 0.871733
148 3756 0.801393 0.739640
149 321217 0.141585 0.274445
150 251793 0.976236 0.471861
151 167517 0.059315 0.278011
152 61019 0.755569 0.682473
153 220337 0.072479 0.837229
154 235422 0.169332 0.714295
155 486712 0.675921 0.435571
156 200391 0.601776 0.589065
157 296628 0.599633 0.719130
158 203795 0.664396 0.756192
159 90298 0.719961 0.436970
160 268187 0.476396 0.710385
161 274394 0.956387 0.009249
162 425625 0.951519 0.156486
163 480309 0.911762 0.766464
164 494105 0.358093 0.662920
165 8899 0.090534 0.982285
166 126664 0.806727 0.905634
167 227931 0.855171 0.971704
168 440327 0.935335 0.795709
169 487252 0.654083 0.826868
170 204696 0.879804 0.562813
171 82313 0.212371 0.305380
172 312136 0.169737 0.451583
173 479390 0.901998 0.889916
174 145483 0.384518 0.908671
175 347157 0.902481 0.588817
176 165449 0.611836 0.392032
177 397178 0.235112 0.523480
178 359482 0.434732 0.259748
179 137074 0.565646 0.576795
180 313439 0.238423 0.983466
181 109853 0.121420 0.736213
182 426073 0.793343 0.372535
183 179219 0.377003 0.300935
184 412851 0.360359 0.585238
