data;

param numFacilities := 610;
param numCustomers := 7885;

param : costs capacities facilityXs facilityYs :=
0 2182 3588075 0.624346 0.269000
1 733 1524931 0.515968 0.245874
2 1553 2384650 0.985286 0.673416
3 1037 4300679 0.367004 0.393487
4 974 4605977 0.580392 0.033429
5 394 3710506 0.311624 0.800646
6 313 4618974 0.370501 0.049894
7 646 3409257 0.440992 0.323016
8 705 4252009 0.746071 0.813712
9 558 4355340 0.175210 0.989368
10 1894 2270918 0.747191 0.505247
11 2166 4757663 0.930549 0.941607
12 531 2927826 0.112143 0.274179
13 284 3278921 0.260597 0.871623
14 419 4852459 0.017511 0.511422
15 516 4399481 0.239899 0.940175
16 434 2513875 0.883974 0.705837
17 1063 2936105 0.114908 0.075555
18 609 4715269 0.257138 0.795526
19 720 2619850 0.626618 0.346771
20 2080 2882695 0.646395 0.233535
21 1022 4697420 0.650061 0.975434
22 1878 4129056 0.959155 0.982565
23 1687 1800461 0.200677 0.771881
24 1702 3332155 0.600963 0.542120
25 984 2441458 0.162630 0.931775
26 574 4707187 0.531833 0.077950
27 1666 2535296 0.615000 0.195355
28 607 2783044 0.700619 0.612131
29 1789 4142131 0.023338 0.123190
30 926 1581710 0.645966 0.357339
31 295 2279971 0.847034 0.657804
32 556 3503416 0.271875 0.173958
33 557 3684092 0.354691 0.815814
34 821 4048046 0.798841 0.892409
35 1722 4710214 0.333401 0.242528
36 680 4797576 0.182927 0.810676
37 1005 1767895 0.029810 0.333598
38 1607 2028862 0.998457 0.913046
39 1264 3522879 0.523648 0.941033
40 1488 2557980 0.424837 0.232197
41 621 1354814 0.301383 0.109301
42 2183 2064604 0.750264 0.372704
43 1189 3746238 0.971944 0.702231
44 662 1947891 0.631963 0.555877
45 1335 3038223 0.800349 0.967599
46 311 4483091 0.517953 0.931726
47 1360 3661872 0.277135 0.924487
48 1218 4608272 0.443833 0.639226
49 249 1928783 0.621545 0.609314
50 743 4133214 0.988167 0.271892
51 888 1642036 0.485923 0.361462
52 334 3694586 0.121510 0.279677
53 616 2947561 0.652759 0.304757
54 390 4054062 0.284327 0.604079
55 1190 2015018 0.125148 0.649213
56 2137 4237518 0.872782 0.659681
57 1400 3062235 0.206439 0.451129
