data;

param numFacilities := 100;
param numCustomers := 1000;

param : costs capacities facilityXs facilityYs :=
0 12322 4879 39220.365000 70386.427500
1 11325 5084 33161.147500 16522.345000
2 12931 4175 40263.792500 16157.912500
3 13299 4684 36366.182500 96916.097500
4 12003 5171 48993.930000 5070.587500
5 11922 5319 78056.860000 86205.652500
6 12597 4011 71087.525000 67944.045000
7 12640 5126 22980.445000 50727.247500
8 9042 3738 35612.515000 38506.875000
9 11225 5592 76622.800000 90578.712500
10 11312 5612 52791.407500 16661.112500
11 12057 6598 62517.865000 71679.917500
12 12733 4853 68108.225000 80812.267500
13 14543 4842 42084.067500 36527.980000
14 11907 4700 85608.345000 76143.692500
15 9452 4683 54088.545000 57956.210000
16 12710 3835 56409.995000 49534.785000
17 12623 4472 24977.000000 51390.880000
18 10595 4152 39914.235000 31547.330000
19 11351 5619 19527.500000 69439.102500
20 13087 5592 36490.527500 99079.485000
21 12296 5326 85659.382500 37223.187500
22 12091 5453 48422.655000 8227.522500
23 11455 4659 90425.590000 48663.852500
24 11940 5705 17929.360000 42224.552500
25 10297 4537 92494.910000 98480.487500
26 12157 5321 82914.107500 21038.130000
27 11947 4561 3046.440000 96468.445000
28 13374 6145 51133.797500 10496.205000
29 12419 5549 54735.285000 97923.397500
30 11740 4774 5192.772500 88869.732500
31 9671 4416 72278.425000 70367.297500
32 12985 5547 27406.135000 28255.622500
33 10048 4106 20648.727500 87816.895000
34 12772 5736 3166.830000 5327.190000
35 9945 5908 17746.007500 66431.707500
36 13395 4893 47621.197500 5845.265000
37 12896 4477 82784.455000 24389.685000
38 12213 4020 56398.977500 66420.402500
39 13133 5426 68768.090000 17532.020000
40 12662 5126 1096.800000 61099.392500
41 10564 4519 7294.532500 86148.745000
42 13077 5133 0.000000 44636.230000
43 13123 3915 61033.645000 16670.692500
44 13143 5270 23008.522500 84872.465000
45 11795 4785 66636.615000 9900.015000
46 13845 4241 46008.432500 47504.652500
47 10094 5565 56341.340000 42766.145000
48 12039 5330 31637.790000 72181.145000
49 11406 4665 26673.445000 34854.475000
50 13348 4171 29251.577500 73751.772500
51 13169 5229 4812.750000 97011.077500
52 11416 6612 12752.857500 90936.887500
53 11355 5491 75989.362500 91288.305000
54 13083 4190 27015.495000 95130.645000
