data;

param numFacilities := 16;
param numCustomers := 50;

param : costs capacities facilityXs facilityYs :=
0 7500 5000 530270.178338 530270.178338
1 7500 5000 506881.911708 520001.110135
2 7500 5000 512878.453164 532436.112860
3 7500 5000 527498.355212 537001.037346
4 7500 5000 521012.425221 537107.993786
5 7500 5000 516898.748012 535242.902624
6 7500 5000 665641.340889 476670.500192
7 7500 5000 755906.779714 489621.286716
8 7500 5000 519208.970404 535146.948724
9 7500 5000 703398.418920 466419.796905
10 0 5000 522083.065272 538443.502722
11 7500 5000 563032.998627 531469.807276
12 7500 5000 926680.562433 460985.318480
13 7500 5000 546598.713599 532304.205360
14 7500 5000 612141.606644 423500.363374
15 7500 5000 581064.721305 501849.346367;

param : demands customerXs customerYs :=
0 146 652581.344634 505875.784538
1 87 652530.847501 505857.001675
2 672 651639.800619 506204.824036
3 1337 646619.286586 508814.895814
4 31 652523.327943 505850.890949
5 559 652007.388386 506087.224792
6 2370 627731.859184 540190.067562
7 1089 649115.739253 508137.346848
8 33 652524.961618 505851.406552
9 32 652522.560279 505850.518662
10 3495 525433.351101 647849.440140
11 904 650647.807464 506923.847808
12 1466 646738.583674 509862.780112
13 143 652474.103550 505865.979816
14 615 652706.891979 506153.969892
15 564 653049.939718 506351.273347
16 226 652477.424108 505920.365734
17 3016 622744.597677 546437.587202
18 253 652455.972928 505964.742708
19 195 652633.760713 505892.315572
20 38 652520.379622 505851.589099
21 807 652874.801679 506275.454774
22 551 651901.099781 506249.116481
23 304 652338.660390 505904.978847
24 814 652125.256131 506666.599270
25 337 652270.676376 505959.893787
26 4368 794542.061383 664892.381354
27 577 651826.574217 506248.631854
28 482 652236.950792 506047.034351
29 495 652076.394769 505981.584213
30 231 652457.386837 505882.405949
31 322 652332.221378 505948.922585
32 685 652162.340944 506145.732561
33 4912 0.000000 626138.169441
34 325 652543.954642 505952.310071
35 366 652465.075550 506031.716177
36 3671 570710.628885 610623.703382
37 2213 637085.331099 518459.613080
38 705 656319.303961 507553.459265
39 328 652206.110903 505984.988475
40 1681 648107.027953 509678.310746
41 1117 651296.723061 508158.934461
42 275 652830.968144 505997.449720
43 500 652807.296808 506036.902854
44 2241 704116.166028 553988.026529
45 733 656367.079187 507854.852843
46 222 652766.927508 505990.391929
47 49 652531.496975 505852.005714
48 1464 645277.392734 509424.061575
49 222 652525.128083 505904.208418;

end;
