data;

param numFacilities := 16;
param numCustomers := 50;

param : costs capacities facilityXs facilityYs :=
0 11658 5360 19029.070000 13336.052500
1 12088 4970 6359.242500 81216.210000
2 12854 4954 96740.422500 32504.697500
3 11232 4933 37955.795000 46081.360000
4 12445 5064 26289.117500 68796.447500
5 12347 5617 27.275000 75057.945000
6 13345 3817 51396.167500 57390.402500
7 10803 5205 72515.777500 96256.945000
8 12780 3991 82660.785000 78844.745000
9 11513 6534 56647.835000 53082.987500
10 12079 5218 58943.505000 53141.420000
11 13260 4677 21776.940000 50604.050000
12 13012 5122 76346.135000 77250.927500
13 12315 4863 39463.662500 55330.395000
14 14034 4282 23742.212500 32148.850000
15 11691 3790 26740.015000 38441.890000;

param : demands customerXs customerYs :=
0 673 11574.347500 4085.810000
1 569 31073.495000 64305.232500
2 599 69577.352500 29461.230000
3 525 60725.430000 28291.285000
4 764 28224.520000 25598.892500
5 697 82620.352500 19695.315000
6 881 68903.745000 73535.102500
7 421 34587.960000 67231.980000
8 552 34725.115000 48867.760000
9 625 28383.860000 36483.145000
10 872 31649.727500 33657.767500
11 561 58609.145000 3687.472500
12 657 73576.192500 87214.427500
13 931 38423.230000 21367.222500
14 575 0.000000 1838.365000
15 833 78970.887500 48289.100000
16 393 72051.487500 78566.080000
17 639 20199.370000 52881.807500
18 679 53738.187500 97890.875000
19 808 61091.767500 54326.965000
20 753 93326.107500 4946.492500
21 641 11801.535000 55483.837500
22 634 72008.102500 10145.035000
23 611 53586.042500 27055.087500
24 472 18048.907500 69404.367500
25 511 21621.585000 87677.255000
26 574 53506.492500 9008.347500
27 599 71918.255000 17715.167500
28 448 95540.190000 33994.082500
29 735 59171.142500 57276.760000
30 799 47232.292500 33400.152500
31 474 54303.782500 69193.822500
32 852 58189.852500 52357.942500
33 844 22379.187500 89668.812500
34 895 90473.282500 49984.790000
35 549 54863.287500 43707.435000
36 650 77561.317500 53431.162500
37 574 19925.217500 5402.632500
38 727 33157.605000 99155.120000
39 495 60100.347500 82224.147500
40 629 5018.682500 5284.565000
41 744 35879.572500 65800.440000
42 616 82303.240000 27543.080000
43 543 12039.745000 51760.095000
44 725 31036.490000 84054.810000
45 382 86572.877500 36853.132500
46 585 8444.365000 91539.215000
47 1014 35841.100000 71491.017500
48 622 11237.797500 57463.477500
49 501 4364.347500 30408.372500;

end;
