data;

param numFacilities := 50;
param numCustomers := 100;

param : costs capacities facilityXs facilityYs :=
0 12236 5365 84836.445000 28948.672500
1 12132 3341 86862.337500 62246.152500
2 11530 4821 29766.897500 84850.132500
3 12685 4449 71346.170000 4891.787500
4 12110 5901 42040.330000 35159.465000
5 13018 5131 53797.602500 15091.720000
6 11264 5809 84139.782500 59084.202500
7 14600 5116 67454.197500 70742.565000
8 10997 4911 70998.782500 80345.315000
9 11431 4176 12911.880000 39215.490000
10 11937 6232 89581.287500 97543.217500
11 10616 5386 56337.610000 81126.192500
12 12168 5397 91045.622500 34592.480000
13 10334 4561 50998.110000 40259.482500
14 10953 4374 43348.630000 33357.360000
15 11107 4585 21492.545000 70737.410000
16 11806 4726 75854.230000 7221.902500
17 11769 3575 73215.315000 5303.392500
18 12923 4645 95593.350000 1028.407500
19 13691 6961 56846.062500 98847.562500
20 9776 4535 84569.307500 88865.202500
21 10900 5063 20884.992500 76947.207500
22 12546 4622 81683.150000 14741.502500
23 13957 5357 3816.025000 69946.582500
24 10656 3964 29037.715000 74985.277500
25 11458 5708 4508.962500 61246.742500
26 10375 5627 91579.045000 95143.622500
27 11204 5866 59914.210000 29384.097500
28 13948 4903 95186.707500 91607.950000
29 13621 4809 59490.287500 68833.177500
30 11876 4729 3912.622500 64132.190000
31 10304 5999 42586.877500 85970.920000
32 12590 4556 3665.870000 85812.237500
33 11342 5467 85258.425000 28069.457500
34 12310 5159 64803.535000 43090.065000
35 11842 3829 7267.610000 53152.877500
36 11999 4224 93234.100000 38695.002500
37 11611 4456 91612.915000 70254.955000
38 12110 5284 41940.767500 72889.865000
39 12992 6054 29324.302500 27513.985000
40 10785 6252 60445.617500 1655.542500
41 11364 7245 19427.857500 8202.575000
42 12234 4712 57346.777500 44708.730000
43 11512 4560 35067.022500 25064.102500
44 9767 4427 52921.805000 9165.680000
45 12183 4019 1959.675000 24892.897500
46 13790 4931 69462.025000 38072.245000
47 11761 5104 59483.382500 63058.532500
48 10894 4817 72558.600000 46127.915000
49 13471 4790 3596.865000 6318.942500;

param : demands customerXs customerYs :=
0 992 23703.692500 63134.582500
1 797 21266.087500 92767.015000
2 732 24837.105000 16938.345000
3 917 97342.490000 87145.407500
4 1313 34734.037500 221.690000
5 563 91816.315000 84824.127500
6 1057 51526.735000 28737.350000
7 808 7204.767500 70579.512500
8 1249 24002.562500 47389.860000
9 715 47750.405000 11173.812500
10 856 34072.235000 39294.152500
11 1304 60708.317500 98933.000000
12 1076 64028.162500 56392.920000
13 974 38132.260000 26894.527500
14 1005 3236.745000 22217.492500
15 652 57897.000000 45207.210000
16 1462 12740.222500 93382.365000
17 957 77753.777500 26234.495000
18 1027 82033.480000 39402.547500
19 1065 84217.077500 0.000000
20 1024 67745.120000 45437.377500
21 713 88253.340000 50418.375000
22 732 91848.385000 4936.180000
23 1105 12219.967500 93081.912500
24 776 48347.797500 19061.415000
25 816 60394.722500 27327.425000
26 1278 28272.240000 96237.770000
27 846 49115.650000 1194.925000
28 1438 6619.352500 84151.617500
29 1188 90150.790000 71367.425000
30 956 70674.460000 97119.215000
31 1204 77950.107500 54971.620000
32 747 85321.285000 588.810000
33 989 90040.882500 11218.680000
34 885 5270.630000 74599.095000
35 811 49195.957500 86292.095000
36 1005 10861.337500 93337.245000
37 1006 48364.655000 49194.242500
38 908 36579.807500 29709.432500
39 985 96974.820000 97213.132500
40 912 51085.727500 41193.790000
41 1021 35558.092500 117.540000
42 943 39809.135000 15608.847500
43 1094 31306.877500 53181.032500
44 1020 72212.755000 55331.820000
45 902 94449.252500 50749.585000
46 1102 10170.150000 21234.637500
47 1029 27948.467500 26109.532500
48 1251 63912.120000 84270.315000
49 924 73202.837500 5448.005000
50 1189 48019.792500 53057.385000
51 857 20312.330000 3749.055000
52 995 70065.005000 59794.857500
53 1014 1875.625000 53534.015000
54 988 55543.322500 51758.507500
55 1296 27352.525000 75165.617500
56 819 3737.587500 65818.467500
57 806 70139.875000 18345.435000
58 873 40268.082500 28064.947500
59 653 68148.275000 32428.762500
60 1086 63397.690000 71083.842500
61 761 84149.010000 75280.367500
62 1023 27770.050000 43201.005000
63 899 86739.277500 50748.467500
64 623 38080.127500 94765.285000
65 832 4388.845000 84698.832500
66 1001 16266.285000 92408.817500
67 1335 47102.555000 59155.395000
68 661 66063.365000 60746.452500
69 1163 29396.445000 75440.207500
70 854 22020.170000 39467.885000
71 1112 80572.362500 2714.805000
72 968 10653.782500 25224.767500
73 815 61163.350000 26714.475000
74 1420 51983.562500 85574.312500
75 951 7414.207500 12953.475000
76 1103 51696.475000 94768.170000
77 1137 87281.257500 37152.292500
78 1331 78644.482500 46125.872500
79 963 51282.982500 4663.705000
80 477 26832.627500 98826.117500
81 1211 33136.107500 23049.602500
82 1381 97946.272500 75756.792500
83 981 41179.912500 61118.477500
84 870 53958.660000 62878.590000
85 1152 27821.400000 3582.185000
86 891 41994.670000 8775.887500
87 1368 22521.615000 37524.052500
88 1092 45050.547500 84403.250000
89 645 71123.797500 64840.257500
90 1251 95659.735000 18729.497500
91 1444 46065.790000 34370.687500
92 926 44851.435000 45714.197500
93 1056 82695.277500 75981.640000
94 1048 67078.690000 80408.645000
95 1512 36652.700000 93008.765000
96 1328 36154.700000 77859.210000
97 992 36660.060000 96277.677500
98 1081 30115.152500 35325.707500
99 852 32275.682500 85414.585000;

end;
