data;

param numFacilities := 4;
param numCustomers := 40;

param : costs capacities facilityXs facilityYs :=
0 490 20203 0.609615 0.219711
1 914 16560 0.144220 0.731031
2 523 34135 0.279873 0.905726
3 735 26279 0.965064 0.456423;

param : demands customerXs customerYs :=
0 1031 0.251629 0.589089
1 1439 0.819200 0.729086
2 1131 0.378463 0.779921
3 4592 0.057720 0.169202
4 2490 0.736555 0.625845
5 3066 0.097965 0.291800
6 1422 0.187971 0.470031
7 3353 0.482410 0.502778
8 2399 0.305261 0.403237
9 1693 0.054688 0.345611
10 3096 0.526135 0.856809
11 1551 0.670144 0.513771
12 4774 0.467968 0.225045
13 2445 0.266157 0.230208
14 4062 0.045524 0.076665
15 3851 0.002933 0.159030
16 94 0.188046 0.941910
17 762 0.717378 0.980318
18 3056 0.414102 0.635870
19 146 0.101555 0.333874
20 4603 0.765675 0.833469
21 327 0.415002 0.124071
22 3744 0.258426 0.804866
23 1362 0.112092 0.824318
24 3166 0.858154 0.396473
25 1288 0.194487 0.431024
26 4720 0.481725 0.096948
27 2239 0.710786 0.489788
28 1170 0.830535 0.392238
29 1614 0.669818 0.740760
30 900 0.108423 0.178494
31 1685 0.229701 0.959671
32 521 0.459905 0.200863
33 2550 0.992097 0.177674
34 4921 0.108776 0.861731
35 3228 0.290286 0.377461
36 3820 0.184107 0.955580
37 1303 0.029488 0.423231
38 3838 0.801414 0.586409
39 3725 0.099087 0.172510;

end;
